SRR8367240	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col24_SL2-2\tSM:SRR8367240\tLB:Col24_SL2-2'
SRR8367239	'@RG\tID:HC2TWBBXX.1\tPL:ILLUMINA\tPU:HC2TWBBXX.1.Col24_SL2-3\tSM:SRR8367239\tLB:Col24_SL2-3'
SRR8367238	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL3-1\tSM:SRR8367238\tLB:Col24_SL3-1'
SRR8367237	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL3-2\tSM:SRR8367237\tLB:Col24_SL3-2'
SRR8367203	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL3-3\tSM:SRR8367203\tLB:Col24_SL3-3'
SRR8367204	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL4-1\tSM:SRR8367204\tLB:Col24_SL4-1'
SRR8367205	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL4-2\tSM:SRR8367205\tLB:Col24_SL4-2'
SRR8367206	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL4-3\tSM:SRR8367206\tLB:Col24_SL4-3'
SRR8367186	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL5-1\tSM:SRR8367186\tLB:Col24_SL5-1'
SRR8367208	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL5-2\tSM:SRR8367208\tLB:Col24_SL5-2'
SRR8367209	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL5-3\tSM:SRR8367209\tLB:Col24_SL5-3'
SRR8367210	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL6-2\tSM:SRR8367210\tLB:Col24_SL6-2'
SRR8367223	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL7-1\tSM:SRR8367223\tLB:Col24_SL7-1'
SRR8367201	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL7-2\tSM:SRR8367201\tLB:Col24_SL7-2'
SRR8367236	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL8-2\tSM:SRR8367236\tLB:Col24_SL8-2'
SRR8367235	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL8-3\tSM:SRR8367235\tLB:Col24_SL8-3'
SRR8367247	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL9-1\tSM:SRR8367247\tLB:Col24_SL9-1'
SRR8367224	'@RG\tID:HC2TWBBXX.6\tPL:ILLUMINA\tPU:HC2TWBBXX.6.Col24_SL9-2\tSM:SRR8367224\tLB:Col24_SL9-2'
