Species,Individual ID,Tissue,Sample ID,Total Reads,Clean Data (G),Clean Depth,Mapped Depth (Mapping Quality ò 20),Genome (%) covered by reads ò 5
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL1-1," 36,078,984 ",5.4,45.1,33.92,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL1-2," 29,302,872 ",4.4,36.6,24.03,90.1
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL1-3," 31,613,390 ",4.7,39.5,29.49,96.9
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL2-1," 36,536,530 ",5.5,45.7,34.47,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL2-2," 45,195,408 ",6.8,56.5,43.32,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL2-3," 35,734,854 ",5.4,44.7,31.82,93.1
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL3-1," 46,814,346 ",7.0,58.5,43.26,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL3-2," 44,247,786 ",6.6,55.3,41.74,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL3-3," 48,688,346 ",7.3,60.9,46.3,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL4-1," 44,855,796 ",6.7,56.1,41.98,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL4-2," 38,263,850 ",5.7,47.8,36.86,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL4-3," 35,395,576 ",5.3,44.2,34.68,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL5-1," 40,021,150 ",6.0,50.0,38.82,98.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL5-2," 30,720,956 ",4.6,38.4,28.36,91.7
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL5-3," 30,462,140 ",4.6,38.1,27.76,92.6
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL6-2," 29,145,866 ",4.4,36.4,26.79,92.9
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL7-1," 35,642,880 ",5.3,44.6,31.48,90.6
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL7-2," 49,698,526 ",7.5,62.1,42.15,91.6
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL8-2," 38,731,984 ",5.8,48.4,32.63,87.4
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL8-3," 43,890,680 ",6.6,54.9,37.77,90.2
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL9-1," 34,097,590 ",5.1,42.6,29.65,87.9
Arabidopsis thaliana,Col24,Stem Leaf,Col24_SL9-2," 33,600,348 ",5.0,42.0,30.09,88.2
